FID_Direct,No_,NOMBRE_DE,C_T___OFI,FID_Superf,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,Area,x,y
"63","64",MIGUEL HIDALGO Y COSTILLA,13DPR2979S,"0","13069","13","069",Tizayuca,7674.7585714,-98.996,19.866
"14","15",Ignacio Rodrigue,13DJN1105L,"0","13069","13","069",Tizayuca,7674.7585714,-98.929,19.866
"31","32",Elisa Acuña Rossetti,13DJN1579,"0","13069","13","069",Tizayuca,7674.7585714,-98.985,19.867
"157","158",Universidad Tecnológica de la,13EUT0008S,"0","13069","13","069",Tizayuca,7674.7585714,-98.984,19.867
"127","128",Arnulfo Pacheco Cru,13DES0108L,"0","13069","13","069",Tizayuca,7674.7585714,-98.929,19.867
"158","159","Universidad de Bienestar ""BENITO JUARE",,"0","13069","13","069",Tizayuca,7674.7585714,-98.978,19.867
"129","130","""Elisa Acuña Rossetti""",13DES0125B,"0","13069","13","069",Tizayuca,7674.7585714,-99.005,19.868
"80","81",JUAN DE DIOS RODRIGUE,13DPR0146V,"0","13069","13","069",Tizayuca,7674.7585714,-98.929,19.868
"81","82",JUAN DE DIOS RODRIGUE,13DPR2911L,"0","13069","13","069",Tizayuca,7674.7585714,-98.929,19.868
"56","57",CARLOS MONSIVAIS ACEVES,13DPR0805O,"0","13069","13","069",Tizayuca,7674.7585714,-98.989,19.869
"61","62",CARLOS FUENTES,13DPR2939R,"0","13069","13","069",Tizayuca,7674.7585714,-98.977,19.869
"38","39",Alfonsina Storni,13DJN1613P,"0","13069","13","069",Tizayuca,7674.7585714,-98.955,19.870
"119","120",JAIME SABINES,13DPR2961T,"0","13069","13","069",Tizayuca,7674.7585714,-98.955,19.870
"51","52",Jaime Torres Bodet,13PJND429Q,"0","13069","13","069",Tizayuca,7674.7585714,-98.97,19.870
"11","12",Roberto,13DJN1532E,"0","13069","13","069",Tizayuca,7674.7585714,-98.939,19.870
"57","58",ISAIAS RAFAEL RIVERA DURAN,13DPR0811,"0","13069","13","069",Tizayuca,7674.7585714,-98.997,19.871
"74","75",MARGARITA MA,13DPR0165J,"0","13069","13","069",Tizayuca,7674.7585714,-98.944,19.871
"75","76",MARGARITA MA,13DPR2910M,"0","13069","13","069",Tizayuca,7674.7585714,-98.944,19.871
"78","79",DONACIANO SERNA LEAL,13DPR2891O,"0","13069","13","069",Tizayuca,7674.7585714,-98.939,19.871
"79","80",DONACIANO SERNA LEAL,13DPR2896J,"0","13069","13","069",Tizayuca,7674.7585714,-98.939,19.871
"16","17",Enrique Laubscher,13DJN1556O,"0","13069","13","069",Tizayuca,7674.7585714,-98.97,19.872
"102","103",COLEGIO A,13PPR0257E,"0","13069","13","069",Tizayuca,7674.7585714,-98.932,19.873
"136","137",COLEGIO A,13PES0218W,"0","13069","13","069",Tizayuca,7674.7585714,-98.932,19.873
"115","116",OCTAVIO PA,13DPR2919D,"0","13069","13","069",Tizayuca,7674.7585714,-98.984,19.873
"25","26",Centro Infantil Kepler,13PJN0446G,"0","13069","13","069",Tizayuca,7674.7585714,-98.937,19.874
"117","118",FELIPE REYES MONTAÑO,13DPR2921S,"0","13069","13","069",Tizayuca,7674.7585714,-98.962,19.874
"118","119",BICENTENARIO,13DPR2923Q,"0","13069","13","069",Tizayuca,7674.7585714,-98.962,19.874
"13","14",Xocoyot,13DJN1215R,"0","13069","13","069",Tizayuca,7674.7585714,-98.944,19.874
"106","107",CENTRO EDUCATIVO JOHANNES KEPLER,13PPR0374U,"0","13069","13","069",Tizayuca,7674.7585714,-98.934,19.875
"161","162",Colegio Universitario Frederik Skinner,,"0","13069","13","069",Tizayuca,7674.7585714,-98.955,19.875
"24","25",Ti,13PJN0443J,"0","13069","13","069",Tizayuca,7674.7585714,-98.932,19.875
"128","129",Antonio Cuadrini D Palma,13DES0115V,"0","13069","13","069",Tizayuca,7674.7585714,-98.938,19.876
"143","144",COBAEH-Plantel Ti,13ECB0032N,"0","13069","13","069",Tizayuca,7674.7585714,-98.979,19.877
"130","131",Hacienda de Guadalupe,13DES0124C,"0","13069","13","069",Tizayuca,7674.7585714,-98.95,19.877
"125","126",ESC SEC Gral No. 6,13DES0118S,"0","13069","13","069",Tizayuca,7674.7585714,-98.969,19.881
"19","20",Diego Rivera,13DJN1570H,"0","13069","13","069",Tizayuca,7674.7585714,-98.971,19.881
"163","164",Centro Universitario Herbart,,"0","13069","13","069",Tizayuca,7674.7585714,-98.937,19.881
"18","19",Frida Khalo,13DJN1570H,"0","13069","13","069",Tizayuca,7674.7585714,-98.971,19.882
"22","23",Eva Samano Bishop,13DJN1612Q,"0","13069","13","069",Tizayuca,7674.7585714,-98.978,19.882
"110","111",SALVADOR DIA,13DPR0780W,"0","13069","13","069",Tizayuca,7674.7585714,-98.977,19.883
"108","109",GREGORIO GARCIA REYES,13DPR0733L,"0","13069","13","069",Tizayuca,7674.7585714,-98.958,19.885
"15","16",Rosaura,13DJN1557N,"0","13069","13","069",Tizayuca,7674.7585714,-98.961,19.885
